Comando,NomeCat,IDProduto,CodProd,NomeProd,Peso,Descricao,DescrLonga,DescrURL,URLTarget,Estoque,EstoqueMinimo,Disponivel,ICMS,Custo,Preco,PrecoProm,PrecoB2B,PrecoB2BProm,DataPromInicio,DataPromFim,Lancamento,EmDestaque,ImagemProd,ImagemDet,ImagemAmp,Adicional1,Adicional2,Adicional3,AdicionalD1,AdicionalD2,AdicionalD3,Cores,OrdemProd,IDProdutoPai,RamoProd,MaisProd,DataVencimento,DiasAvisoVencimento,DiasReposicao,IDParceiroProd,DescrHTM,MetaKeywordsProd,MaxParcelasProd,XMLParcelasProd,CodBarrasProd,Embalavel,IsProdutoGrande,LarguraProd,AlturaProd,ProfundidadeProd,CodVideo,ProdMPN,TitleProd,URLProd,VendaConjunta,MetaDescriptionProd,IDsFiltroItem
"A","Açucares e Adoçantes",4920822,"2628","Açúcar de Coco",100.9,"O açúcar de Coco Copra é 100% natural, possui baixo índice glicêmico, não contém aditivos químicos e não é refinado, garrantindo uma alimentação mais saudável. Além disso é fonte de Potássio e Magnési","O Açúcar de Coco é um excelente substituto do açúcar de cana, pois ele não é processado, adulterado ou filtrado, não contém preservativos e é 100% natural, sendo conhecido por ser o adoçante mais sustentável do mundo. Ele é muito mais nutritivo e saudável que os outros adoçantes, possuindo elevada quantidade de Potássio, Magnésio, Zinco e Ferro e sendo uma fonte natural de Vitaminas B1, B2, B3 e B6, além de seu índice glicêmico (Gi=35) ser muito mais baixo que o açúcar de cana (Gi=68). Os cristais do Açúcar de Coco dissolvem-se facilmente dando um delicioso e doce sabor a todo tipo de receitas.","",False,0,0,True,0,0,38.9,0,0,0,,,False,False,"acucar_coco_copra_pq.jpg","acucar_coco_copra_md.jpg","acucar_coco_copra_md.jpg","124472,124473,124608,124992","81080","","Copra","350g","","",0,,26,"Açucares e Adoçantes",,0,0,,"","Açúcar de Coco, Copra Coco, Açúcar de Coco Copra Coco, açúcar de coco, açúcar, substitutos do açúcar, adoçantes, adoçante natural",0,0,"",True,False,0,0,0,"","","Comprar Açúcar de Coco sem Glúten Copra","acucar-de-coco","","O açúcar de Coco Copra é 100% natural, possui baixo índice glicêmico, não contém aditivos químicos e não é refinado, garrantindo uma alimentação mais",""
"A","Açucares e Adoçantes",5133029,"3102","Açúcar de Coco",0.15,"O açúcar de Coco Copra é 100% natural, possui baixo índice glicêmico, não contém aditivos químicos e não é refinado, garrantindo uma alimentação mais saudável. Além disso é fonte de Potássio e Magnési","O Açúcar de Coco é um excelente substituto do açúcar de cana, pois ele não é processado, adulterado ou filtrado, não contém preservativos e é 100% natural, sendo conhecido por ser o adoçante mais sustentável do mundo. Ele é muito mais nutritivo e saudável que os outros adoçantes, possuindo elevada quantidade de Potássio, Magnésio, Zinco e Ferro e sendo uma fonte natural de Vitaminas B1, B2, B3 e B6, além de seu índice glicêmico (Gi=35) ser muito mais baixo que o açúcar de cana (Gi=68). Os cristais do Açúcar de Coco dissolvem-se facilmente dando um delicioso e doce sabor a todo tipo de receitas.","",False,1,0,True,0,0,13.4,0,0,0,,,False,False,"3102_pq.jpg","3102_md.jpg","3102_gr.jpg","124472,124473,124608,124992,128479","81080","","Copra","100g","","",0,,26,"",,0,0,,"","",0,0,"",False,False,0,0,0,"","","","acucar-de-coco","","O açúcar de Coco Copra é 100% natural, possui baixo índice glicêmico, não contém aditivos químicos e não é refinado, garrantindo uma alimentação mais",""
"A","Açucares e Adoçantes",4920662,"2216","Açúcar de Coco Orgânico",0.26,"Açúcar de Coco Monama. 100% natural, baixo índice glicêmico, rico em vitaminas e minerais, ferro e zinco. Compre na Grão Natural sem glúten e sem lactose.","<strong>Açúcar de Coco Monama</strong>, o adoçante 100% natural.
O <strong>açúcar de coco</strong> é uma ótima alternativa ao açúcar comum, pois não sofre refinamentos, mantendo assim suas vitaminas e minerais originais.
Sua produção se origina através da extração das flores da palma do coco. Os cristais resultantes são triturados resultando em um açúcar de cor amarronzada e com aspecto mais grosso que o açúcar comum.
Os principais benefícios do Açúcar de Coco Monama são:
<strong>Baixo índice glicêmico</strong>, indicado para pessoas com diabetes tipo 2;
quantidades elevadas de potássio, magnésio, zinco e ferro;
fonte natural de vitaminas B1, B2, B3 e B6.
","",True,0,0,True,0,0,0,0,0,0,,,False,False,"acucar_coco_pq.jpg","acucar_coco_md.jpg","acucar_coco_gr.jpg","124472,124473,124474,124607,124608,124992","81098","","Monama","250g","","",0,,26,"Açucares e Adoçantes",,0,0,,"","Açúcar de Coco Orgânico, Monama, Açúcar de Coco Orgânico Monama",0,0,"",False,False,0,0,0,"","","","acucar-de-coco-organico","","Açúcar de Coco Monama. 100% natural, baixo índice glicêmico, rico em vitaminas e minerais, ferro e zinco. Compre na Grão Natural sem glúten e sem lact",""
"A","Açucares e Adoçantes",5184214,"1856","Açúcar Demerara",0.8,"<p>O <strong>A&ccedil;&uacute;car Demerara</strong> Pra Vida possui maior quantidade de nutrientes em rela&ccedil;&atilde;o ao a&ccedil;&uacute;car refinado.</p>","<p>O <strong>A&ccedil;&uacute;car Demerara</strong> Pra Vida possui maior quantidade de nutrientes em rela&ccedil;&atilde;o ao a&ccedil;&uacute;car refinado.</p>
<p>Ao contr&aacute;rio do <strong>a&ccedil;&uacute;car mascavo</strong>, o a&ccedil;&uacute;car demerara n&atilde;o deixa sabor residual nos alimentos. Tamb&eacute;m n&atilde;o recebe aditivos qu&iacute;micos. O <strong>a&ccedil;&uacute;car demerara</strong> pode ser utilizado da mesma forma dos dos demais a&ccedil;&uacute;cares, para ado&ccedil;ar alimentos ou no preparo de doces.</p>
<p><strong>Onde comprar A&ccedil;&uacute;car Demerara Pra Vida:</strong> Voc&ecirc; encontra o<strong> a&ccedil;&uacute;car demerara</strong> nas lojas <strong>Gr&atilde;o Natural Porto alegre</strong> ou atrav&eacute;s da loja virtual <strong>Gr&atilde;o Natural</strong>.</p>","",False,1,0,True,0,0,7.7,0,0,0,,,False,False,"1856_pq.jpg","1856_md.jpg","1856_gr.jpg","124472,124473,124608,124992,128479","83305","","Pra Vida","500g","","",0,,26,"Açucares e Adoçantes",,0,0,,"","",0,0,"",False,False,0,0,0,"","","","acucar-demerara","","<p>O <strong>A&ccedil;&uacute;car Demerara</strong> Pra Vida possui maior quantidade de nutrientes em rela&ccedil;&atilde;o ao a&ccedil;&uacute;car re",""
"A","Açucares e Adoçantes",5184213,"646","Açúcar Mascavo",1.5,"O Açúcar Mascavo Grãos de Vida é extraído da cana de açúcar e não passa pelo processo de refinação, mantendo seus nutrientes naturais como vitaminas e minerais.","<p>O <strong>Açúcar Mascavo Grãos de Vida</strong> é extraído da cana de <strong>açúcar</strong> e não passa pelo processo de refinação, mantendo seus nutrientes naturais como vitaminas e minerais, entre eles cálcio, ferro e potássio. Esses nutrientes são essenciais ao processo de digestão do <strong>açúcar</strong>.</p>
<p>Ingredientes: Açúcar Mascavo Orgânico. NÃO CONTÉM GLÚTEN.</p>
<h3>Onde comprar O Açúcar Mascavo Grãos de Vida:</h3>
<p>Você encontra o<strong> Açúcar Mascavo Grãos de Vida</strong> nas lojas <strong>Grão Natural Porto Alegre</strong> ou através da loja virtual Grão Natural.</p>","",False,1,0,True,0,0,9.9,0,0,0,,,False,False,"646_pq.jpg","646_md.jpg","646_gr.jpg","124472,124473,124608,124992,128479","82590","","Grãos de Vida","1Kg","","",0,,26,"Açucares e Adoçantes",,0,0,,"","",0,0,"",False,False,0,0,0,"","","","acucar-mascavo","","O Açúcar Mascavo Grãos de Vida é extraído da cana de açúcar e não passa pelo processo de refinação, mantendo seus nutrientes naturais como vitaminas e",""
"A","Açucares e Adoçantes",5646438,"3942","Açúcar Mascavo Orgânico",0.5,"Açúcar Mascavo Orgânico","","",False,0,0,True,0,0,0,0,0,0,,,False,False,"3942_pq.jpg","3942_md.jpg","3942_gr.jpg","124472,124473,124607,124608,124992,125132,128479","83683","","Ecobio","400g","","",0,,0,"Açucares e Adoçantes",,0,0,,"","",0,0,"",False,False,0,0,0,"","","Comprar Açúcar Mascavo Orgânico","acucar-mascavo-organico","","",""
"A","Açucares e Adoçantes",4920661,"2419","Açúcar Mascavo Orgânico Leve Crock",0.6,"Açúcar Mascavo Orgânico Leve Crock Sabor Alternativo  não refinado, orgânico, natural, sem aditivos químicos, rico em cálcio, magnésio, fósforo e potássio.","<p>O <strong>Açúcar Mascavo Orgânico Sabor Alternativo</strong> é extraído da cana de <strong>açúcar</strong> e não passa pelo processo de refinação, mantendo seus nutrientes naturais como vitaminas e minerais, entre eles cálcio, ferro e potássio. Esses nutrientes são essenciais ao processo de digestão do <strong>açúcar</strong>.</p>
<p>Ingredientes: Açúcar Mascavo Orgânico. NÃO CONTÉM GLÚTEN.</p>
<h3>Onde comprar O Açúcar Mascavo Orgânico Sabor Alternativo:</h3>
<p>Você encontra o<strong> Açúcar Mascavo Orgânico Sabor Alternativo</strong> nas lojas <strong>Grão Natural Porto Alegre</strong> ou através da loja virtual Grão Natural.</p>","",True,0,0,True,0,0,0,0,0,0,,,False,False,"2419_pq.jpg","2419_md.jpg","2419_gr.jpg","124472,124473,124608,124992,128479","81090","","Sabor Alternativo","500g","","",0,,26,"Açucares e Adoçantes",,0,0,,"","Açúcar mascavo orgânico, Sabor Alternativo, Açúcar mascavo orgânico Sabor Alternativo, açúcar orgânico, açúcar mascavo, açúcar Sabor Alternativo",0,0,"",False,False,0,0,0,"","","","acucar-mascavo-organico-leve-crock","","Açúcar Mascavo Orgânico Leve Crock Sabor Alternativo  não refinado, orgânico, natural, sem aditivos químicos, rico em cálcio, magnésio, fósforo e potá",""
"A","Açucares e Adoçantes",4920660,"1041","Adoçante Dietético em Pó",0.88,"O Adoçante Dietético em Pó Linea produzido à base de sucralose, possui o sabor do açúcar e não deixa resíduo amargo como muitos adoçantes.","<p>O <strong>Adoçante Dietético</strong> em Pó <strong>Linea</strong> produzido à base de <strong>sucralose</strong>, possui o sabor do <strong>açúcar</strong> e não deixa resíduo amargo como muitos <strong>adoçantes</strong>. <br />Pode ser utilizado por toda família, inclusive portadores de diabetes e fenilcetonúricos. <br /> <br /><strong>Ingredientes:</strong> Lactose, antiumectante dióxido de silício, edulcorantes artificiais: sucralose e acesulfame-K. Não contém Glúten.&lt;br&gt; Poder adoçante: cada envelope equivale ao poder adoçante de 2 colheres (chá) de açúcar e contém 3 kcal (calorias).Não contém Glúten.</p>
<h3>Onde comprar <strong>Adoçante Dietético em Pó Linea</strong>:</h3>
<p>Você encontra o<strong> Adoçante Dietético </strong>em Pó<strong> <strong>Linea</strong></strong> nas lojas <strong>Grão Natural Porto Alegre</strong> ou através da loja virtual Grão Natural.</p>","",True,0,0,True,0,0,11.8,0,0,0,,,False,False,"adocante_po_50_pq.jpg","adocante_po_50_md.jpg","adocante_po_50_gr.jpg","124472,124474","81157","","Linea","40g","","",0,,26,"Açucares e Adoçantes",,0,0,,"","Adoçante dietético em pó Linea, Adoçante dietético em pó, Adoçante Linea, Adoçante sache, Linea, Adoçante em pó",0,0,"",False,False,0,0,0,"","","","adocante-dietetico-em-po","","O Adoçante Dietético em Pó Linea produzido à base de sucralose, possui o sabor do açúcar e não deixa resíduo amargo como muitos adoçantes.",""
"A","Açucares e Adoçantes",4920659,"1040","Adoçante Dietético Liquido",0.108,"Adoçante Dietético Liquido produzido à base de sucralose, possui o sabor do açúcar e não deixa resíduo amargo.","<p>O <strong>Adoçante Dietético</strong> Liquido <strong>Linea</strong> produzido à base de <strong>sucralose</strong>, possui o sabor do <strong>açúcar</strong> e não deixa resíduo amargo como muitos <strong>adoçantes</strong>. <br />Pode ser utilizado por toda família, inclusive portadores de diabetes e fenilcetonúricos. <br /> <br />Ingredientes: Água, edulcorantes artificiais: sucralose e acesulfame-k, espessante carboximetilcelulose, conservante benzoato de sódio e acidulante ácido cítrico. <strong>Não contém Glúten.</strong></p>
<h3>Onde comprar <strong>Adoçante Dietético Liquido Linea</strong>:</h3>
<p>Você encontra o<strong> Adoçante Dietético </strong>Liquido<strong> <strong>Linea</strong></strong> nas lojas <strong>Grão Natural Porto Alegre</strong> ou através da loja virtual Grão Natural.</p>

Poder adoçante: cada 3 gotas equivalem ao poder adoçante de 1 colher (chá) de açúcar. Não contém calorias.","",True,1,0,True,0,0,18.3,0,0,0,,,False,False,"adoc_liq_pq.jpg","adoc_liq_md.jpg","adoc_liq_gr.jpg","124472,124473,124474","81157","","Linea","75ml","","",0,,26,"Açucares e Adoçantes",,0,0,,"","Adoçante dietético liquido Linea, Adoçante dietético liquido, Adoçante Linea, Adoçante sache, Linea, Adoçante liquido",0,0,"",False,False,0,0,0,"","","","adocante-dietetico-liquido","","Adoçante Dietético Liquido produzido à base de sucralose, possui o sabor do açúcar e não deixa resíduo amargo.",""
"A","Açucares e Adoçantes",4920775,"1476","Calda de Agave Azul Orgânico",0.4,"","","",False,0,0,True,0,0,0,0,0,0,,,False,False,"agave_pq.jpg","agave_md.jpg","agave_gr.jpg","124472,124473,124607,124608","81159","","Sitio do Moinho","","","",0,,26,"Açucares e Adoçantes",,0,0,,"","Agave,  agave orgânico, xarope de agave, xarope de agave Sitio do Moinho, substituto do açúcar, baixo índice glicêmico, Sitio do Moinho",0,0,"",True,False,0,0,0,"","","","calda-de-agave-azul-organico","","",""
